timestamp,pv_power_mw
2006-07-16 13:15:00,6.933333333333334
2006-07-16 13:30:00,6.7
2006-07-16 13:45:00,6.5
2006-07-16 14:00:00,6.7
2006-07-16 14:15:00,6.733333333333333
2006-07-16 14:30:00,6.333333333333333
2006-07-16 14:45:00,5.966666666666666
2006-07-16 15:00:00,5.3999999999999995
2006-07-16 15:15:00,5.133333333333334
2006-07-16 15:30:00,4.5
2006-07-16 15:45:00,3.966666666666667
2006-07-16 16:00:00,3.6333333333333333
2006-07-16 16:15:00,3.233333333333333
2006-07-16 16:30:00,2.8000000000000003
2006-07-16 16:45:00,2.1999999999999997
2006-07-16 17:00:00,1.5666666666666667
2006-07-16 17:15:00,1.0333333333333334
2006-07-16 17:30:00,0.43333333333333335
2006-07-16 17:45:00,0.13333333333333333
2006-07-16 18:00:00,0.03333333333333333
2006-07-16 18:15:00,0.0
2006-07-16 18:30:00,0.0
2006-07-16 18:45:00,0.0
2006-07-16 19:00:00,0.0
2006-07-16 19:15:00,0.0
2006-07-16 19:30:00,0.0
2006-07-16 19:45:00,0.0
2006-07-16 20:00:00,0.0
2006-07-16 20:15:00,0.0
2006-07-16 20:30:00,0.0
2006-07-16 20:45:00,0.0
2006-07-16 21:00:00,0.0
2006-07-16 21:15:00,0.0
2006-07-16 21:30:00,0.0
2006-07-16 21:45:00,0.0
2006-07-16 22:00:00,0.0
2006-07-16 22:15:00,0.0
2006-07-16 22:30:00,0.0
2006-07-16 22:45:00,0.0
2006-07-16 23:00:00,0.0
2006-07-16 23:15:00,0.0
2006-07-16 23:30:00,0.0
2006-07-16 23:45:00,0.0
