timestamp,load_mw
2006-07-15 00:00:00,4.1151
2006-07-15 00:15:00,4.0897
2006-07-15 00:30:00,4.064299999999999
2006-07-15 00:45:00,4.0389
2006-07-15 01:00:00,4.0135
2006-07-15 01:15:00,3.9877749999999996
2006-07-15 01:30:00,3.9620499999999996
2006-07-15 01:45:00,3.936325
2006-07-15 02:00:00,3.9106
2006-07-15 02:15:00,3.902075
2006-07-15 02:30:00,3.8935500000000003
2006-07-15 02:45:00,3.885025
2006-07-15 03:00:00,3.8765
2006-07-15 03:15:00,3.8809
2006-07-15 03:30:00,3.8853
2006-07-15 03:45:00,3.8897
2006-07-15 04:00:00,3.8941
2006-07-15 04:15:00,3.8967
2006-07-15 04:30:00,3.8993
2006-07-15 04:45:00,3.9019
2006-07-15 05:00:00,3.9045
2006-07-15 05:15:00,3.933525
2006-07-15 05:30:00,3.9625500000000002
2006-07-15 05:45:00,3.991575
2006-07-15 06:00:00,4.0206
2006-07-15 06:15:00,4.043775
2006-07-15 06:30:00,4.06695
2006-07-15 06:45:00,4.090125
2006-07-15 07:00:00,4.1133
2006-07-15 07:15:00,4.15905
2006-07-15 07:30:00,4.2048
2006-07-15 07:45:00,4.25055
2006-07-15 08:00:00,4.2963
2006-07-15 08:15:00,4.349425
2006-07-15 08:30:00,4.40255
2006-07-15 08:45:00,4.455674999999999
2006-07-15 09:00:00,4.5088
2006-07-15 09:15:00,4.556925
2006-07-15 09:30:00,4.60505
2006-07-15 09:45:00,4.653175
2006-07-15 10:00:00,4.7013
2006-07-15 10:15:00,4.72995
2006-07-15 10:30:00,4.7585999999999995
2006-07-15 10:45:00,4.78725
2006-07-15 11:00:00,4.8159
2006-07-15 11:15:00,4.791025
2006-07-15 11:30:00,4.76615
2006-07-15 11:45:00,4.741275
2006-07-15 12:00:00,4.7164
2006-07-15 12:15:00,4.7061
2006-07-15 12:30:00,4.6958
2006-07-15 12:45:00,4.6855
2006-07-15 13:00:00,4.6752
2006-07-15 13:15:00,4.6914750000000005
2006-07-15 13:30:00,4.707750000000001
2006-07-15 13:45:00,4.724025
2006-07-15 14:00:00,4.7403
2006-07-15 14:15:00,4.791225000000001
2006-07-15 14:30:00,4.84215
2006-07-15 14:45:00,4.893075
2006-07-15 15:00:00,4.944
2006-07-15 15:15:00,5.0432500000000005
2006-07-15 15:30:00,5.1425
2006-07-15 15:45:00,5.24175
2006-07-15 16:00:00,5.341
2006-07-15 16:15:00,5.34755
2006-07-15 16:30:00,5.354100000000001
2006-07-15 16:45:00,5.360650000000001
2006-07-15 17:00:00,5.3672
2006-07-15 17:15:00,5.3507
2006-07-15 17:30:00,5.3342
2006-07-15 17:45:00,5.3177
2006-07-15 18:00:00,5.3012
2006-07-15 18:15:00,5.233725
2006-07-15 18:30:00,5.16625
2006-07-15 18:45:00,5.098775
2006-07-15 19:00:00,5.0313
2006-07-15 19:15:00,4.991725
2006-07-15 19:30:00,4.95215
2006-07-15 19:45:00,4.912575
2006-07-15 20:00:00,4.873
2006-07-15 20:15:00,4.87035
2006-07-15 20:30:00,4.8677
2006-07-15 20:45:00,4.86505
2006-07-15 21:00:00,4.8624
2006-07-15 21:15:00,4.7885
2006-07-15 21:30:00,4.7146
2006-07-15 21:45:00,4.6407
2006-07-15 22:00:00,4.5668
2006-07-15 22:15:00,4.4857
2006-07-15 22:30:00,4.4046
2006-07-15 22:45:00,4.3235
2006-07-15 23:00:00,4.2424
2006-07-15 23:15:00,4.196225
2006-07-15 23:30:00,4.15005
2006-07-15 23:45:00,4.1038749999999995
2006-07-16 00:00:00,4.0577
2006-07-16 00:15:00,4.03595
2006-07-16 00:30:00,4.0142
2006-07-16 00:45:00,3.99245
2006-07-16 01:00:00,3.9707
2006-07-16 01:15:00,3.965625
2006-07-16 01:30:00,3.96055
2006-07-16 01:45:00,3.955475
2006-07-16 02:00:00,3.9504
2006-07-16 02:15:00,3.972575
2006-07-16 02:30:00,3.9947500000000002
2006-07-16 02:45:00,4.0169250000000005
2006-07-16 03:00:00,4.0391
2006-07-16 03:15:00,4.088875
2006-07-16 03:30:00,4.13865
2006-07-16 03:45:00,4.1884250000000005
2006-07-16 04:00:00,4.2382
2006-07-16 04:15:00,4.320625
2006-07-16 04:30:00,4.40305
2006-07-16 04:45:00,4.485475
2006-07-16 05:00:00,4.5679
2006-07-16 05:15:00,4.686375
2006-07-16 05:30:00,4.80485
2006-07-16 05:45:00,4.923325
2006-07-16 06:00:00,5.0418
2006-07-16 06:15:00,5.134625
2006-07-16 06:30:00,5.22745
2006-07-16 06:45:00,5.3202750000000005
2006-07-16 07:00:00,5.4131
2006-07-16 07:15:00,5.47245
2006-07-16 07:30:00,5.5318000000000005
2006-07-16 07:45:00,5.59115
2006-07-16 08:00:00,5.6505
2006-07-16 08:15:00,5.69905
2006-07-16 08:30:00,5.7476
2006-07-16 08:45:00,5.79615
2006-07-16 09:00:00,5.8447
2006-07-16 09:15:00,5.86985
2006-07-16 09:30:00,5.895
2006-07-16 09:45:00,5.92015
2006-07-16 10:00:00,5.9453
2006-07-16 10:15:00,5.939
2006-07-16 10:30:00,5.9327
2006-07-16 10:45:00,5.926399999999999
2006-07-16 11:00:00,5.9201
2006-07-16 11:15:00,5.9041749999999995
2006-07-16 11:30:00,5.888249999999999
2006-07-16 11:45:00,5.872325
2006-07-16 12:00:00,5.8564
2006-07-16 12:15:00,5.835325
2006-07-16 12:30:00,5.8142499999999995
2006-07-16 12:45:00,5.793175
2006-07-16 13:00:00,5.7721
2006-07-16 13:15:00,5.760975
