timestamp,actual_pv_mw,forecast_pv_mw
2006-07-16 01:30:00,0.0,9.066266648005694e-05
2006-07-16 01:45:00,0.0,9.066266648005694e-05
2006-07-16 02:00:00,0.0,9.066266648005694e-05
2006-07-16 02:15:00,0.0,9.066266648005694e-05
2006-07-16 02:30:00,0.0,9.066266648005694e-05
2006-07-16 02:45:00,0.0,9.066266648005694e-05
2006-07-16 03:00:00,0.0,9.066266648005694e-05
2006-07-16 03:15:00,0.0,9.066266648005694e-05
2006-07-16 03:30:00,0.0,9.066266648005694e-05
2006-07-16 03:45:00,0.0,9.066266648005694e-05
2006-07-16 04:00:00,0.0,9.066266648005694e-05
2006-07-16 04:15:00,0.0,9.066266648005694e-05
2006-07-16 04:30:00,0.0,9.066266648005694e-05
2006-07-16 04:45:00,0.0,9.066266648005694e-05
2006-07-16 05:00:00,0.0,0.0005125885945744812
2006-07-16 05:15:00,0.0,0.0005125885945744812
2006-07-16 05:30:00,0.0,0.0005125885945744812
2006-07-16 05:45:00,0.1,0.0582660436630249
2006-07-16 06:00:00,0.3999999999999999,0.4180672764778137
2006-07-16 06:15:00,1.0,0.9899423122406006
2006-07-16 06:30:00,0.8666666666666666,0.890116810798645
2006-07-16 06:45:00,1.5,1.4935489892959595
2006-07-16 07:00:00,2.3000000000000003,2.2986037731170654
2006-07-16 07:15:00,3.0,3.000807762145996
2006-07-16 07:30:00,3.733333333333333,3.7341420650482178
2006-07-16 07:45:00,4.3999999999999995,4.399298191070557
2006-07-16 08:00:00,4.833333333333333,4.83142614364624
2006-07-16 08:15:00,5.266666666666667,5.255152225494385
2006-07-16 08:30:00,5.7,5.717325210571289
2006-07-16 08:45:00,6.2,6.202226638793945
2006-07-16 09:00:00,6.6000000000000005,6.600991249084473
2006-07-16 09:15:00,6.8999999999999995,6.888118267059326
2006-07-16 09:30:00,7.066666666666666,7.06655216217041
2006-07-16 09:45:00,7.166666666666667,7.1652512550354
2006-07-16 10:00:00,7.333333333333333,7.339999675750732
2006-07-16 10:15:00,7.466666666666666,7.4567551612854
2006-07-16 10:30:00,7.566666666666666,7.560737133026123
2006-07-16 10:45:00,7.4,7.407512664794922
2006-07-16 11:00:00,7.2,7.196749210357666
2006-07-16 11:15:00,7.099999999999999,7.11024808883667
2006-07-16 11:30:00,7.099999999999999,7.083822727203369
2006-07-16 11:45:00,6.966666666666666,6.97530460357666
2006-07-16 12:00:00,7.0,6.991206645965576
2006-07-16 12:15:00,6.933333333333334,6.9396562576293945
2006-07-16 12:30:00,7.0,6.9926629066467285
2006-07-16 12:45:00,7.0,6.999974250793457
2006-07-16 13:00:00,7.0,6.993321418762207
2006-07-16 13:15:00,6.933333333333334,6.938155174255371
2006-07-16 13:30:00,6.7,6.722733020782471
2006-07-16 13:45:00,6.5,6.504507541656494
2006-07-16 14:00:00,6.7,6.688369274139404
2006-07-16 14:15:00,6.733333333333333,6.730149745941162
2006-07-16 14:30:00,6.333333333333333,6.351837158203125
2006-07-16 14:45:00,5.966666666666666,6.3707780838012695
2006-07-16 15:00:00,5.3999999999999995,5.993946552276611
2006-07-16 15:15:00,5.133333333333334,5.009581089019775
2006-07-16 15:30:00,4.5,4.63572359085083
2006-07-16 15:45:00,3.966666666666667,4.591330528259277
2006-07-16 16:00:00,3.6333333333333337,3.990478277206421
2006-07-16 16:15:00,3.233333333333333,3.158684253692627
2006-07-16 16:30:00,2.8000000000000003,2.496422290802002
2006-07-16 16:45:00,2.1999999999999997,2.3188087940216064
2006-07-16 17:00:00,1.5666666666666669,1.5918893814086914
2006-07-16 17:15:00,1.0333333333333334,1.5918893814086914
2006-07-16 17:30:00,0.4333333333333333,1.091461181640625
2006-07-16 17:45:00,0.1333333333333333,0.9673873782157898
2006-07-16 18:00:00,0.0333333333333333,0.6235758662223816
2006-07-16 18:15:00,0.0,0.6061964631080627
2006-07-16 18:30:00,0.0,0.6069373488426208
2006-07-16 18:45:00,0.0,0.6029778718948364
